benchmark,total time,solver time
alloy/DiffEg40-plain-sat.rkt,14253,147
alloy/DiffEg40-plain.rkt,14292,263
alloy/DiffEg40-skolem-sat.rkt,11487,274
alloy/DiffEg40-skolem-symmetry-sat.rkt,48030,-1
alloy/DiffEg40-skolem-symmetry.rkt,50253,2209
alloy/DiffEg40-skolem.rkt,11520,329
alloy/DiffEg40-symmetry-sat.rkt,51551,-1
alloy/DiffEg40-symmetry.rkt,52725,1960
alloy/LatinSquare5-plain-sat.rkt,201,126
alloy/LatinSquare5-plain.rkt,160,85
alloy/LatinSquare5-skolem-sat.rkt,206,127
alloy/LatinSquare5-skolem-symmetry-sat.rkt,257,163
alloy/LatinSquare5-skolem-symmetry.rkt,201,108
alloy/LatinSquare5-skolem.rkt,163,86
alloy/LatinSquare5-symmetry-sat.rkt,256,163
alloy/LatinSquare5-symmetry.rkt,201,108
alloy/LatinSquare7-plain-sat.rkt,769,362
alloy/LatinSquare7-plain.rkt,558,122
alloy/LatinSquare7-skolem-sat.rkt,783,366
alloy/LatinSquare7-skolem-symmetry-sat.rkt,1124,680
alloy/LatinSquare7-skolem-symmetry.rkt,817,375
alloy/LatinSquare7-skolem.rkt,540,124
alloy/LatinSquare7-symmetry-sat.rkt,1122,680
alloy/LatinSquare7-symmetry.rkt,814,375
tptp/ALG195-plain-sat.rkt,6112,4655
tptp/ALG195-plain.rkt,4034,2584
tptp/ALG195-skolem-sat.rkt,6156,4658
tptp/ALG195-skolem-symmetry-sat.rkt,6346,4814
tptp/ALG195-skolem-symmetry.rkt,4091,2554
tptp/ALG195-skolem.rkt,4045,2596
tptp/ALG195-symmetry-sat.rkt,6308,4768
tptp/ALG195-symmetry.rkt,4080,2556
tptp/ALG195_1-plain-sat.rkt,15530,13250
tptp/ALG195_1-plain.rkt,4830,2546
tptp/ALG195_1-skolem-sat.rkt,15977,13619
tptp/ALG195_1-skolem-symmetry-sat.rkt,16222,13650
tptp/ALG195_1-skolem-symmetry.rkt,5431,2862
tptp/ALG195_1-skolem.rkt,5433,2898
tptp/ALG195_1-symmetry-sat.rkt,16293,13744
tptp/ALG195_1-symmetry.rkt,5381,2854
tptp/ALG197-plain-sat.rkt,6199,4790
tptp/ALG197-plain.rkt,3416,2071
tptp/ALG197-skolem-sat.rkt,5804,4471
tptp/ALG197-skolem-symmetry-sat.rkt,6229,4774
tptp/ALG197-skolem-symmetry.rkt,3841,2391
tptp/ALG197-skolem.rkt,3928,2435
tptp/ALG197-symmetry-sat.rkt,6368,4838
tptp/ALG197-symmetry.rkt,3738,2291
tptp/ALG212-plain-sat.rkt,65679,42247
tptp/ALG212-plain.rkt,37746,14033
tptp/ALG212-skolem-sat.rkt,64669,40942
tptp/ALG212-skolem-symmetry-sat.rkt,61256,33124
tptp/ALG212-skolem-symmetry.rkt,35338,10045
tptp/ALG212-skolem.rkt,42025,14853
tptp/ALG212-symmetry-sat.rkt,61106,33366
tptp/ALG212-symmetry.rkt,36260,10513
tptp/COM008-plain-sat.rkt,224,95
tptp/COM008-plain.rkt,228,98
tptp/COM008-skolem-sat.rkt,228,94
tptp/COM008-skolem-symmetry-sat.rkt,225,78
tptp/COM008-skolem-symmetry.rkt,192,44
tptp/COM008-skolem.rkt,228,92
tptp/COM008-symmetry-sat.rkt,222,79
tptp/COM008-symmetry.rkt,190,47
tptp/NUM378-plain-sat.rkt,167,0
tptp/NUM378-plain.rkt,175,6
tptp/NUM378-skolem-sat.rkt,325,0
tptp/NUM378-skolem-symmetry-sat.rkt,380,0
tptp/NUM378-skolem-symmetry.rkt,381,5
tptp/NUM378-skolem.rkt,330,6
tptp/NUM378-symmetry-sat.rkt,179,1
tptp/NUM378-symmetry.rkt,179,4
tptp/TOP020-plain-sat.rkt,5436,2668
tptp/TOP020-plain.rkt,3634,1075
tptp/TOP020-skolem-sat.rkt,5568,2955
tptp/TOP020-skolem-symmetry-sat.rkt,9023,5965
tptp/TOP020-skolem-symmetry.rkt,4377,1237
tptp/TOP020-skolem.rkt,4167,1234
tptp/TOP020-symmetry-sat.rkt,8756,5640
tptp/TOP020-symmetry.rkt,4339,1328
